id,origin,construction_classes,source_text,spoken_text,transformations,verdict_y_n,note
corpus:nested-regulation-01:s11,corpus,legal-references,Artículo 5. Información periódica.,artículo cinco. Información periódica.,legal-references[Artículo 5.  -> artículo cinco. ],Y,"FAIL en round 1 (frontera destruida: «cincoInformación»); PASS en round 2 tras fix."
corpus:nested-regulation-01:s12,corpus,"dates,ordinals,time,numbers","1.º Las entidades deberán remitir la información antes del día 15/07/2024 y, a más tardar, a las 14:00, hora peninsular.","primero. Las entidades deberán remitir la información antes del día quince de julio de dos mil veinticuatro y, a más tardar, a las catorce horas, hora peninsular.",dates[15/07/2024 -> 15 de julio de 2024] | ordinals[1.º -> primero.] | time[14:00 -> 14 horas] | numbers[15 -> quince] | numbers[2024 -> dos mil veinticuatro] | numbers[14 -> catorce],Y,
corpus:nested-regulation-01:s13,corpus,currencies,"a) El umbral máximo será de 1.234.567,89 euros.",a) El umbral máximo será de un millón doscientos treinta y cuatro mil quinientos sesenta y siete euros con ochenta y nueve céntimos.,"currencies[1.234.567,89 euros -> un millón doscientos treinta y cuatro mil quinientos sesenta y siete euros con ochenta y nueve céntimos]",Y,
corpus:nested-regulation-01:s14,corpus,"basis-points,numbers",b) El tipo aplicable será el resultado de incrementar el EURIBOR a 12 meses en 25 pb.,b) El tipo aplicable será el resultado de incrementar el EURIBOR a doce meses en veinticinco puntos básicos.,basis-points[25 pb -> veinticinco puntos básicos] | numbers[12 -> doce],Y,
corpus:nested-regulation-01:s15,corpus,"currencies,settlement,ordinals,numbers","2.º Los importes superiores a 500.000 EUR deberán notificarse, además, en un plazo de T+2 días hábiles, siempre que el contrato se haya celebrado con posterioridad al 1 de enero de 2024.","segundo. Los importes superiores a quinientos mil euros deberán notificarse, además, en un plazo de T más dos días hábiles, siempre que el contrato se haya celebrado con posterioridad al uno de enero de dos mil veinticuatro.",currencies[500.000 EUR -> quinientos mil euros] | settlement[T+2 -> T más dos] | ordinals[2.º -> segundo.] | numbers[1 -> uno] | numbers[2024 -> dos mil veinticuatro],Y,
corpus:nested-regulation-01:s19,corpus,"roman-headings,pause",ANEXO I. MODELO DE INFORME,"ANEXO uno.  MODELO DE INFORME,","roman-headings[ANEXO I. -> ANEXO uno. ] | pause[ -> , ]",Y,
corpus:nested-regulation-01:s20,corpus,currencies,"Concepto: Fondo para intermedios financieros. Importe: 3.500,00 euros.",Concepto: Fondo para intermedios financieros. Importe: tres mil quinientos euros con cero céntimos.,"currencies[3.500,00 euros -> tres mil quinientos euros con cero céntimos]",Y,"Calidad oral (no semántica): «con cero céntimos» exacto pero oralmente innecesario."
corpus:nested-regulation-01:s21,corpus,percentages,"Concepto: Comisiones variables. Importe: 12,75 % del resultado.",Concepto: Comisiones variables. Importe: doce coma siete cinco por ciento del resultado.,"percentages[12,75 % -> doce coma siete cinco por ciento]",Y,"Calidad oral (no semántica): decimal dígito a dígito; natural: «setenta y cinco»."
corpus:nested-regulation-01:s22,corpus,numbers,"El modelo de informe deberá presentarse conforme al Anexo I, que se publica en el sitio web del organismo. No podrá utilizarse el modelo del ejercicio 2023.","El modelo de informe deberá presentarse conforme al Anexo I, que se publica en el sitio web del organismo. No podrá utilizarse el modelo del ejercicio dos mil veintitrés.",numbers[2023 -> dos mil veintitrés],Y,
corpus:nested-regulation-01:s23,corpus,"dates-hyphen,numbers",(1) Los porcentajes se calcularán sobre el balance auditado a 31-12-2023.,(uno) Los porcentajes se calcularán sobre el balance auditado a treinta y uno de diciembre de dos mil veintitrés.,dates-hyphen[31-12-2023 -> 31 de diciembre de 2023] | numbers[1 -> uno] | numbers[31 -> treinta y uno] | numbers[2023 -> dos mil veintitrés],Y,
corpus:financial-report-01:s1,corpus,"numbers,pause",INFORME DE SITUACIÓN PATRIMONIAL — TERCER TRIMESTRE DE 2025,"INFORME DE SITUACIÓN PATRIMONIAL — TERCER TRIMESTRE DE dos mil veinticinco,","numbers[2025 -> dos mil veinticinco] | pause[ -> , ]",Y,
corpus:financial-report-01:s2,corpus,"percentages,numbers","El volumen total de operaciones ascendió a 47.408 millones de euros, lo que supone un incremento del 3,75 % respecto al trimestre anterior.","El volumen total de operaciones ascendió a cuarenta y siete mil cuatrocientos ocho millones de euros, lo que supone un incremento del tres coma siete cinco por ciento respecto al trimestre anterior.","percentages[3,75 % -> tres coma siete cinco por ciento] | numbers[47.408 -> cuarenta y siete mil cuatrocientos ocho]",Y,"Calidad oral (no semántica): «tres coma siete cinco» dígito a dígito; natural: «setenta y cinco»."
corpus:financial-report-01:s3,corpus,"currencies,isin","La cartera de renta fija incluye el ISIN ES0123456789, emitido al amparo del Programa de pagarés, con un nominal de 250.000 EUR.","La cartera de renta fija incluye el ISIN e ese cero uno dos tres cuatro cinco seis siete ocho nueve, emitido al amparo del Programa de pagarés, con un nominal de doscientos cincuenta mil euros.",currencies[250.000 EUR -> doscientos cincuenta mil euros] | isin[ES0123456789 -> e ese cero uno dos tres cuatro cinco seis siete ocho nueve],Y,
corpus:financial-report-01:s4,corpus,"settlement,ranges,lei,numbers",El identificador de la contraparte principal es el LEI VAVR88822QQ763F4A823. La entidad deberá conservar la trazabilidad de las liquidaciones T+1 durante los próximos 10–15 años.,El identificador de la contraparte principal es el LEI uve a uve ere ocho ocho ocho dos dos cu cu siete seis tres efe cuatro a ocho dos tres. La entidad deberá conservar la trazabilidad de las liquidaciones T más uno durante los próximos diez a quince años.,settlement[T+1 -> T más uno] | ranges[10–15 -> 10 a 15] | lei[VAVR88822QQ763F4A823 -> uve a uve ere ocho ocho ocho dos dos cu cu siete seis tres efe cuatro a ocho dos tres] | numbers[10 -> diez] | numbers[15 -> quince],Y,"Pronunciación (no semántica): «ere» para R; lectura moderna «erre». Identificador LEI íntegro."
corpus:financial-report-01:s5,corpus,"acronyms,currencies,percentages","El margen de intereses se situó en 0,50 €, un 12 % por debajo de la previsión del BCE para el área de la UE.","El margen de intereses se situó en cincuenta céntimos, un doce por ciento por debajo de la previsión del B C E para el área de la UE.","acronyms[BCE -> B C E] | currencies[0,50 € -> cincuenta céntimos] | percentages[12 % -> doce por ciento]",Y,
corpus:financial-report-01:s6,corpus,currencies,"— Provisiones: 2.345,67 euros.",— Provisiones: dos mil trescientos cuarenta y cinco euros con sesenta y siete céntimos.,"currencies[2.345,67 euros -> dos mil trescientos cuarenta y cinco euros con sesenta y siete céntimos]",Y,
corpus:financial-report-01:s7,corpus,percentages,"— Ratio de eficiencia: 54,3 %.",— Ratio de eficiencia: cincuenta y cuatro coma tres por ciento.,"percentages[54,3 % -> cincuenta y cuatro coma tres por ciento]",Y,
corpus:extraction-artifacts-01:s1,corpus,pause,RESOLUCIÓN DE PRUEBA,"RESOLUCIÓN DE PRUEBA,","pause[ -> , ]",Y,
corpus:extraction-artifacts-01:s7,corpus,pause,SEGUNDO. RÉGIMEN RECURSORIO,"SEGUNDO. RÉGIMEN RECURSORIO,","pause[ -> , ]",Y,
corpus:extraction-artifacts-01:s8,corpus,"legal-references,slash-citations,numbers","Contra la presente resolución, que no pone fin a la vía administrativa, podrá interponerse recurso de alzada en el plazo de un mes, de conformidad con lo establecido en los artículos 121 y 122 de la Ley 39/2015.","Contra la presente resolución, que no pone fin a la vía administrativa, podrá interponerse recurso de alzada en el plazo de un mes, de conformidad con lo establecido en los artículos ciento veintiuno y ciento veintidós de la Ley treinta y nueve, dos mil quince.","legal-references[artículos 121 -> artículos ciento veintiuno] | slash-citations[39/2015 -> 39, 2015] | numbers[122 -> ciento veintidós] | numbers[39 -> treinta y nueve] | numbers[2015 -> dos mil quince]",Y,"FAIL en round 1 (plural destruido: «los artículo…»); PASS en round 2 tras fix. Calidad pendiente: coma en «Ley 39/2015»."
corpus:simple-01:s0,corpus,pause,NOTA INFORMATIVA,"NOTA INFORMATIVA,","pause[ -> , ]",Y,
corpus:simple-01:s2,corpus,numbers,"El texto contiene un número cualquiera, 42, y una fecha de muestra, 3 de mayo de 2026.","El texto contiene un número cualquiera, cuarenta y dos, y una fecha de muestra, tres de mayo de dos mil veintiséis.",numbers[42 -> cuarenta y dos] | numbers[3 -> tres] | numbers[2026 -> dos mil veintiséis],Y,
