round,row,semantic_status,failure_category,speech_quality_issue,comment
1,corpus:financial-report-01:s2,PASS,,OTHER,"47.408 millones exacto; 3,75 % exacto. «tres coma siete cinco» es correcto pero menos natural que «tres coma setenta y cinco»."
1,corpus:financial-report-01:s3,PASS,,NONE,"ISIN conserva exactamente ES0123456789; importe de 250.000 EUR preservado."
1,corpus:financial-report-01:s4,PASS,,PRONUNCIATION_ONLY,"LEI, T+1 y rango 10–15 años conservan identidad y valores. Calidad: «ere» para R; la lectura normativa moderna es «erre». No cambia el identificador pretendido, pero conviene corregir pronunciación."
1,corpus:financial-report-01:s5,PASS,,NONE,"0,50 € → cincuenta céntimos es equivalente; BCE, UE y 12 % permanecen identificables y correctos."
1,corpus:financial-report-01:s6,PASS,,NONE,"2.345,67 € correctamente verbalizados."
1,corpus:financial-report-01:s7,PASS,,NONE,"54,3 % preservado exactamente."
1,corpus:extraction-artifacts-01:s1,PASS,,NONE,"Solo pausa añadida."
1,corpus:extraction-artifacts-01:s7,PASS,,NONE,"Solo pausa añadida; ordinal y encabezado intactos."
1,corpus:extraction-artifacts-01:s8,FAIL,OTHER,OTHER,"«artículos» → «artículo» destruye la forma plural y degrada la estructura de una referencia conjunta 121 y 122. Además «Ley 39/2015» mantiene valores pero tiene la misma oralización subóptima con coma."
1,corpus:simple-01:s2,PASS,,NONE,"42 y 3 de mayo de 2026 correctamente verbalizados."
2,corpus:nested-regulation-01:s4,PASS,,NONE,"(round 2, tras fix legal-references v1.1.0) La frontera «Artículo 1. Objeto.» queda restaurada correctamente. Referencia, encabezado y orden semántico preservados."
2,corpus:nested-regulation-01:s5,PASS,,OTHER,"(round 2, tras fix) La frontera «Artículo 2. Ámbito de aplicación.» queda restaurada y art. 57.1.b) continúa correcto. Permanece únicamente el issue de calidad ya conocido «Ley cuarenta y siete, dos mil tres» frente a la oralización preferible «...de dos mil tres»."
2,corpus:nested-regulation-01:s11,PASS,,NONE,"(round 2, tras fix) «Artículo 5. Información periódica.» conserva ahora explícitamente la frontera entre referencia y encabezado."
2,corpus:extraction-artifacts-01:s8,PASS,,OTHER,"(round 2, tras fix) «los artículos ciento veintiuno y ciento veintidós» preserva correctamente pluralidad y las dos referencias. Permanece únicamente el issue de calidad de «Ley treinta y nueve, dos mil quince»."
2,golden:legal,PASS,,NONE,"(round 2, verificación anti-regresión) Sin cambios respecto al PASS anterior; la corrección no introduce regresión."
2,corpus:simple-01:s0,PASS,,NONE,"«NOTA INFORMATIVA» → «NOTA INFORMATIVA,» añade únicamente una pausa y no altera contenido, estructura ni significado."
